Time,CPU_usec_used,Memory_Bytes,Energy_uJ,inference_time_sec
1751287660,773072230,1073610752,17870062406,0.81097412109375
1751287662,773372304,1073643520,17876471203,0.801364183425903
1751287663,773672252,1073414144,17882388425,0.882179498672485
1751287664,773972616,1073483776,17888281354,0.714354038238525
1751287665,774273226,1073516544,17894254666,0.79147219657898
1751287666,774584979,1073553408,17900662059,0.790331840515137
1751287667,774892648,1073586176,17907115046,0.805255889892578
1751287668,775202359,1073709056,17913600198,0.798470973968506
1751287669,775502226,1073696768,17920086448,0.789101600646973
1751287670,775803132,1073467392,17927082524,0.702420949935913
1751287671,776102706,1073500160,17934569871,0.788497686386108
1751287672,776402327,1073627136,17942053982,0.807425260543823
1751287673,776702423,1073606656,17948621653,0.799041032791138
1751287674,777012897,1073639424,17955272027,0.801882743835449
1751287675,777323912,1073676288,17961786659,0.707992076873779
1751287676,777632403,1073483776,17969043781,0.713748693466187
1751287677,777932351,1073516544,17976010438,0.708646774291992
1751287678,778232844,1073553408,17982287827,1.48980307579041
1751287679,778532928,1073586176,17988504547,0.79631781578064
1751287680,778832217,1073721344,17995090651,0.806248903274536
1751287681,779135124,1073168384,18002427912,0.799911737442017
1751287682,779446394,1073201152,18009978125,0.795540571212769
1751287683,779755194,1073496064,18017834733,0.788040637969971
1751287684,780062489,1073307648,18025591854,0.793992519378662
1751287685,780362891,1073340416,18032269633,0.716233491897583
1751287686,780662826,1073377280,18038404199,0.884966850280762
1751287687,780962252,1073410048,18044371652,0.799261808395386
1751287688,781273610,1073479680,18050952690,0.8132483959198
1751287689,781582490,1073569792,18057658240,0.973987340927124
1751287690,781892259,1073549312,18064307820,0.803907155990601
1751287691,782192863,1073582080,18070251042,0.711342096328735
1751287692,782492612,1073651712,18076601795,0.795191049575806
1751287693,782792612,928821248,18084336333,0.796913862228394
1751287694,783092650,932274176,18091857127,0.802641153335571
1751287695,783392959,933310464,18098234369,0.782974720001221
1751287696,783704837,934293504,18104472939,0.795888662338257
1751287697,784013954,934977536,18110507469,0.796174764633179
1751287698,784322511,935919616,18117714910,0.796278715133667
1751287699,784622910,936353792,18124411304,0.818273067474365
1751287700,784923116,937725952,18131216889,0.795982122421265
1751287701,785222244,938409984,18137509964,0.790145874023438
1751287702,785522519,939114496,18143802184,0.706142663955689
1751287703,785823386,939794432,18149996260,0.795940160751343
1751287704,786137566,940552192,18156055632,0.804300546646118
1751287705,786448004,941965312,18162639904,0.881561756134033
1751287706,786752178,942751744,18169053401,0.809135675430298
1751287707,787052756,943198208,18175277262,0.802795171737671
1751287708,787352803,944128000,18182509238,0.802363157272339
1751287709,787652707,945233920,18188780279,0.812212944030762
1751287710,787952290,945917952,18195140981,0.702355146408081
1751287711,788262716,946597888,18201060277,0.801996469497681
1751287712,788573015,947281920,18207398640,0.806782245635986
1751287713,788881001,948736000,18213874881,0.723503112792969
1751287714,789182280,949481472,18221206527,0.793171167373657
1751287715,789482698,950054912,18227907682,0.791632890701294
1751287716,789782715,950751232,18234163159,0.714150190353394
1751287717,790082886,952107008,18240350033,0.705004215240479
1751287718,790382896,952799232,18246408672,0.711763858795166
1751287719,790691709,953757696,18252679530,0.705626487731934
1751287720,791000462,954449920,18259356759,0.715457201004028
1751287721,791309901,955731968,18265903373,0.795763731002808
1751287722,791613114,956207104,18272530797,0.709101915359497
1751287723,791912208,956878848,18278934345,0.799694538116455
1751287724,792212354,957804544,18285585818,0.784548044204712
1751287725,792512556,958873600,18291535998,0.699188232421875
1751287726,792812361,959561728,18297618258,0.710814237594605
1751287727,793122657,960278528,18304077470,0.802213907241821
1751287728,793432660,960974848,18310218872,0.719480276107788
1751287729,793742265,962301952,18317837993,0.797735452651978
1751287730,794042183,962981888,18325081322,0.796856164932251
1751287731,794342970,963682304,18331391059,0.79625391960144
1751287732,794642341,964370432,18337824392,0.789721012115479
1751287733,794942760,965087232,18343791418,0.795728445053101
1751287734,795242941,966393856,18350573810,0.800851821899414
1751287735,795553268,967299072,18357911438,0.708577632904053
1751287736,795862131,967782400,18364768781,0.788098573684692
1751287737,796171114,969293824,18371245449,0.714857578277588
1751287738,796472272,969814016,18377699962,0.799145221710205
1751287740,796772325,970780672,18387829391,0.795048236846924
1751287741,797072620,971223040,18395278957,0.797296762466431
1751287742,797372939,972673024,18402269845,0.787619352340698
1751287743,797673042,973504512,18409319815,0.713392019271851
1751287744,797979188,974200832,18415678197,0.884065866470337
1751287745,798288131,975409152,18422194050,0.714112758636475
1751287746,798597240,976248832,18428760927,0.723244428634644
1751287747,798902193,976683008,18435037828,0.790619134902954
1751287748,799203054,978137088,18441289521,0.702152967453003
1751287749,799502156,978817024,18447328995,0.794298410415649
1751287750,799802252,979652608,18453456665,0.830399751663208
1751287751,800102570,979173376,18460247297,0.721409797668457
1751287752,800410702,980492288,18467086269,0.703800916671753
1751287753,800721596,981282816,18473580087,0.719638347625732
1751287754,801031264,982048768,18479645685,0.79594874382019
1751287755,801332647,982802432,18485624246,0.796466112136841
1751287756,801632718,983908352,18491563196,0.792540788650513
1751287757,801932904,984723456,18498083015,0.802024841308594
1751287758,802232931,985317376,18504192741,0.711659669876099
1751287759,802533853,986755072,18510013588,0.801036834716797
1751287760,802847033,987308032,18516639364,0.87831711769104
1751287761,803154503,988000256,18524087343,0.813984870910645
1751287762,803462248,988680192,18530406785,0.794544696807861
1751287763,803762377,990904320,18536940643,0.794072389602661
1751287764,804062327,990699520,18543296279,0.788839101791382
1751287765,804362798,992002048,18548981689,0.706555366516113
1751287766,804666578,992079872,18555015914,0.793575525283814
1751287767,804980051,993378304,18561351164,0.707139015197754
1751287768,805289416,994332672,18567372633,0.792791843414307
1751287769,805592528,995389440,18574077084,0.794760704040527
1751287770,805892697,995459072,18581617775,0.791507244110107
1751287771,806192184,996765696,18588955341,0.708849668502808
1751287772,806496593,998146048,18595430178,0.711743593215942
1751287773,806806536,998154240,18601647020,0.725538969039917
1751287774,807115691,999460864,18607501375,0.80153226852417
1751287775,807422153,1000144896,18613432146,0.718631029129028
1751287776,807722296,1000824832,18619627138,0.797399520874023
1751287777,808022350,1002160128,18625917649,0.794930219650269
1751287778,808325998,1002831872,18632248871,0.792234897613525
1751287779,808638389,1003540480,18638413894,0.818062782287598
1751287780,808948993,1004224512,18644429870,0.88540530204773
1751287781,809253029,1005568000,18650714766,0.800087213516235
1751287782,809552346,1006243840,18657251004,0.706815719604492
1751287783,809852243,1006944256,18663631847,0.701645135879517
1751287784,810152291,1007632384,18670178034,0.774189949035645
